Date,Clicks,Impressions,CTR,Position
2026-07-29,4,41,9.76%,12.8
2026-07-30,40,172,23.26%,4
2026-07-31,10,57,17.54%,13.4
2026-08-01,2,47,4.26%,22.3
2026-08-02,9,99,9.09%,24.1
2026-08-03,7,101,6.93%,30
2026-08-04,5,124,4.03%,14
2026-08-05,4,90,4.44%,21.2
2026-08-06,6,67,8.96%,16.4
2026-08-07,4,72,5.56%,19.7
2026-08-08,0,41,0%,23
